00:06:00 - 00:06:02  |    Hvordan var det?
00:06:02 - 00:06:04  |    Det var meget nemt.
00:06:04 - 00:06:06  |    Jeg synes næsten, hver gang man får de her stik-
00:06:06 - 00:06:08  |    med coronavaccinen, det føles sikkert ligesom om de giver noget.
00:06:08 - 00:06:10  |    Det er meget lille kanel.
00:06:10 - 00:06:12  |    Så ingen problemer.
00:06:12 - 00:06:14  |    Og hvad siger du til prisen?
00:06:14 - 00:06:16  |    Jamen det er jo egentlig
00:06:16 - 00:06:18  |    lidt positivt overraskeret, at det ikke er værre end det er.
00:06:18 - 00:06:20  |    Også er det næsten det samme som med Førstål-vaccinen.
00:06:20 - 00:06:22  |    Så ja.
00:06:22 - 00:06:32  |    Ja, det er helt okay. Ingen problemer.
00:06:52 - 00:06:56  |    Prisen, hold op.
