00:00:55 - 00:00:57  |    Thank you.
00:01:03 - 00:01:08  |    Dear Presidents of the Assembly, dear members of the public,
00:01:08 - 00:01:13  |    dear representatives of Spain and all the other countries of the world,
00:01:13 - 00:01:17  |    dear friends, I am glad to welcome you.
00:01:17 - 00:01:22  |    Thank you for all the warm words that have just been spoken
00:01:22 - 00:01:28  |    to support the struggle for freedom.
00:01:28 - 00:01:34  |    Today, Ukraine celebrates the 9th anniversary of the beginning of the Maidan,
00:01:34 - 00:01:40  |    the Revolution of Dignity, and we celebrate the months of 2013-2014
00:01:40 - 00:01:44  |    when the Ukrainians on the squares and streets of our cities
00:01:44 - 00:01:49  |    defended the right to European elections for our country.
00:01:49 - 00:01:53  |    It was an important year for all our communities,
00:01:53 - 00:01:58  |    communities of peoples who are united by the values of freedom,
00:01:58 - 00:02:22  |    the right to democracy.
