00:05:00 - 00:05:02  |    Ej, det er ikke nogen.
00:05:05 - 00:05:07  |    Vi er fide godt.
00:05:08 - 00:05:10  |    Ja, vi tæller.
00:05:10 - 00:05:12  |    Du har titlen, er det?
00:05:12 - 00:05:17  |    Ja, Klaus, for en god ordent skyld, hvis du bare vil starte med at sige dit fulde navn af din titel.
00:05:17 - 00:05:19  |    Jeg hedder Klaus Sjoerdal, og jeg er formand for skollederforeningen.
00:05:19 - 00:05:21  |    Yes.
00:05:23 - 00:05:24  |    Sager du igen?
00:05:24 - 00:05:25  |    Nej, det er bare...
00:05:25 - 00:05:32  |    Godt. Øhm... Vi tager lige, eller lader lige det der indkøre forbi.
00:05:40 - 00:05:41  |    Hvad skal du ind?
00:05:41 - 00:05:49  |    Klaus, hvad mener du om det her politiske forslag med at straffe nogle skoler og beløn andre økonomisk
00:05:49 - 00:05:56  |    i forhold til det her med, hvor mange elever med anden etnisk baggrund man tager ind?
00:05:56 - 00:06:01  |    Hvis vi snakker om flygtning indvandret med sprogvanskeligheder fra starten af,
00:06:01 - 00:06:06  |    så synes jeg, det ville være en god idé at give de skoler, der har mange procent af dem,
00:06:06 - 00:06:11  |    en ekstra belønning, en ekstra udgift for at kompletere for deres udgifter til sporenervistning.
00:06:11 - 00:06:16  |    Men for at straffe andre skoler, der ikke har det, det er rigtig svært, når vi har frit skolevalg,
00:06:16 - 00:06:22  |    og så siger I, så bliver man straffet for det. Så jeg synes ikke, den tænking med at straffe nogen på det her,
00:06:22 - 00:06:28  |    den virker, fordi det er jo forældrene, der vælger mere i skolerne, der trækker dem til sig.
00:06:28 - 00:06:34  |    Hvad tænker du om den her udvikling? Altså vi har et eksempel i dag med to skoler i Skive,
00:06:34 - 00:06:40  |    hvor der ligger en privat skole 600 meter længere nede af vejen, og så ligger der en folkeskole,
00:06:40 - 00:06:46  |    som har fået en meget større antal elever med anden etnisk baggrund,
00:06:46 - 00:06:54  |    og samtidig så er det elevtallet af etnisk, danske elever faldet,
00:06:54 - 00:07:01  |    og det samme ser man modsatte på privat skolen. Hvad tænker du om det?
00:07:01 - 00:07:07  |    Det synes jeg er en sarnelig, uheldig udvikling. Det er svært at gøre noget ved hjælp af økonomier.
00:07:07 - 00:07:12  |    Problemet er, at man som forælder har frit skolevalg, og det allerstørste problem er, at jeg synes jeg,
00:07:12 - 00:07:17  |    at man som forælder vælger at sige, at jeg ikke har lyst til, at mit barn skal se sådan noget.
00:07:17 - 00:07:21  |    Jeg har lyst til, at de skal gå sammen med ganske almindelige, etniske, danske børn,
00:07:21 - 00:07:27  |    der ligner mit eget barn, fremfor at blive konfronteret med andre typer af indioner eller sådan noget.
00:07:27 - 00:07:32  |    Jeg har tro på, at det bliver et dårligere liv for deres barn, og i virkeligheden så vil deres børn
00:07:32 - 00:07:39  |    få en rigtig stor betjent, og tage en frøvlig livsstart i de sidste dage.
00:07:39 - 00:07:42  |    Hvordan var lyden? Skal vi tage det igen, eller?
00:07:42 - 00:07:44  |    Hvad tænker du? Det bliver langt.
00:07:44 - 00:07:46  |    Ja, det var meget højt.
00:07:46 - 00:07:48  |    Lad os bare tage det igen, ja.
00:07:48 - 00:07:53  |    Hvad tænker du om det her eksempel, som vi ser f.eks. i Skive?
00:07:53 - 00:07:57  |    Jeg synes, det er en uheldig udvikling. Det vil jeg.
00:07:57 - 00:08:01  |    Det er så forvækert.
