00:00:00 - 00:00:02  |    Ja, jeg taler sådan cirka, ja. Fint.
00:00:02 - 00:00:04  |    Er du også lydt igennem på mig?
00:00:04 - 00:00:05  |    Ja.
00:00:05 - 00:00:06  |    Okay.
00:00:07 - 00:00:09  |    Godt Peter, vi begynder lige med, at du lige præsenterer dig lige.
00:00:09 - 00:00:12  |    Peter Kofoved, gruppeformand for Dansk Folkeparti.
00:00:12 - 00:00:13  |    Ja.
00:00:19 - 00:00:24  |    Skal vi fortsat sende iranske flygtninge til Ihorne under denne her nuværende situation?
00:00:24 - 00:00:29  |    Danmark skal fortsætte den holde, vi har eller linje, vi har på udlændingområdet lige nu, ja.
00:00:29 - 00:00:35  |    Selvom der er utryghed og ballade i andre lande, så behøver det jo ikke ændre noget fra kriterierne for, hvordan vi tildeler asyl i Danmark.
00:00:35 - 00:00:39  |    Men hvorfor er det vigtigt at oprettholde den praksis, vi har nu?
00:00:39 - 00:00:48  |    Jeg tror, at hvis man begynder at stille spørgsmålstegn ved den her slags situationer, så vil man finde ud af, at der er meget, meget få lande, der er på højde med Danmark, og hvor man så vil kunne udsende folk til.
00:00:48 - 00:00:53  |    Så hvis man ønsker at beskytte den stramme udlændingepolitik, jamen så skal man jo fortsætte den linje, vi har.
00:00:53 - 00:00:57  |    Men hvorfor er det vigtigt at beskytte den stramme udlændingepolitik?
00:00:57 - 00:01:05  |    Jeg synes, det er vigtigt, at vi har en stram udlændingepolitik i Danmark, at der er styr på, hvem der kommer til, og hvor mange, der kommer, har til.
00:01:05 - 00:01:10  |    Og der kan man bare ikke blive ved med at slå efter, hver gang, at der sker et eller andet ude i verden.
00:01:10 - 00:01:22  |    Men Amnesty og mellemfolkets samvirkning, de savner handling, siger de bag de her ord og politikere, de demonstrerer for Iranernes frihedskamp, men at vi så samtidig sender Iranere til Iran.
00:01:22 - 00:01:23  |    Er du enig i det?
00:01:23 - 00:01:26  |    Nej, de her to ting har ingen ting med hinanden at gøre.
00:01:26 - 00:01:33  |    Jeg ønsker det iranske regime alt dårligt, og jeg ønsker den iranske opposition alt held og lykke med at omstyrre det regime.
00:01:33 - 00:01:39  |    Men det betyder bare ikke noget for tilleggningen af dansk udlændingepolitik.
00:01:39 - 00:01:41  |    De to ting hænger slet ikke sammen.
00:01:41 - 00:01:44  |    Hvorfor gør det ikke det? Hvorfor skal man ikke sige B, når man også siger A?
00:01:44 - 00:01:46  |    De her to ting har ikke noget med hinanden at gøre.
00:01:46 - 00:01:55  |    Det har ikke noget med hinanden at gøre, hvad der foregår i Iran i forhold til regeringen, og hvad det er for nogle kriterier, man i Danmark har for tilleggning af flygtningestatus eksempelvis.
00:01:55 - 00:01:59  |    Hvis det nu er usikkert at sende iranske kvinder til Iran?
00:01:59 - 00:02:08  |    Danmark overholder jo forvejen internationale konventioner og alt muligt andet, så jeg tror da ikke på, at Danmark sender nogen tilbage, hvis det viser sig, at det ikke er sikker for dem.
00:02:08 - 00:02:18  |    Leila Stockmar fra Enhedslisten synes, at det er hyggelrig, at Pia Kjærsgaard klipper en locket sit hår af i sympatien, og i stadigvæk ønsker et hjemsendt iransk afvist asylansøger.
00:02:18 - 00:02:29  |    Hvad tænker du om det? Jeg tænker, at det er fuldstændig kendt viden, at Enhedslisten arbejder dag og nat på at underminere Danmarks udlændingepolitik, og som vil det være, at jeg arbejder dag og nat på at beskytte den stramme udlændingepolitik, og det vil jeg fortsætte med.
00:02:29 - 00:02:33  |    Vi tager den igen, fordi jeg kommer til at tage den hen over dig. Hvad synes du om det?
00:02:33 - 00:02:41  |    Vi er uenige med hende, og det er jo fuldstændig velkendt, at Enhedslisten bruger dag og nat på at underminere den stramme dansk udlændingepolitik, og jeg arbejder så på det modsatte.
00:02:41 - 00:02:53  |    Skal en iransk kvinde, der ikke går med tørklæde og er konverteret til kristendom, sendes hjem? Jeg kan ikke gå ind i enkelte sager. Jeg er fuldstændig sikker på, at både myndighederne, men også flygtningenevner har været ind at se på de her sager.
00:02:53 - 00:03:01  |    Men så overordnet, altså iranske kvinder, som har tilpasset sig det danske samfund og egentlig gjort, som I ønsker, skal de sendes hjem?
00:03:01 - 00:03:11  |    Jamen, det har ikke noget med tilledeling af asyl at gøre. Der er bare nogle regler, der er stramme, fordi de gælder for alle, og sådan skal det være.
00:03:11 - 00:03:17  |    Hvis man hver gang, der sker et eller andet, slår af på de regler, så er der ingen grund til at have dem, så kan man bare underminere udlændingepolitikken.
00:03:17 - 00:03:24  |    Men er det ikke det, vi ønsker, at udlændinger, der kommer til Danmark, de tilpasser sig det danske samfund, og lader sig integrere, som i tilfældet her?
00:03:24 - 00:03:32  |    Jamen, hvis man eksempelvis kommer til Danmark og søger flygtningestatus og ikke har krav på beskyttelse, så kan man ikke få beskyttelse, så skal man rejse hjem.
00:03:32 - 00:03:34  |    Og det gælder uanset, hvor man er fra.
00:03:34 - 00:03:36  |    Okay, tak skal du have.
00:03:36 - 00:03:38  |    Ja, det gør jeg.
00:03:38 - 00:03:41  |    Det er sgu da meget centralt og hyggeligt, ser det ud til.
00:03:41 - 00:03:43  |    Ja, det er meget lækkert.
00:03:43 - 00:03:47  |    Fart sted og fredeligt.
00:03:47 - 00:03:52  |    Der er fyldt med muller nede i den vej, apropos det, vi lige talte om, men sådan er der jo så meget.
00:03:52 - 00:04:02  |    Ja, men altså jeg har jo rejst et sted, det er en god by.
00:04:02 - 00:04:04  |    Bra by.
00:04:04 - 00:04:06  |    Der er også nogle fine butikker, kan jeg se.
00:04:06 - 00:04:08  |    Det er en meget, meget, meget små butik.
00:04:08 - 00:04:15  |    Jeg vil faktisk sige, den der ræsningsforretning derovre, det er den smukkeste butik af sin egen i Danmark.
00:04:15 - 00:04:18  |    Jeg har set mange af dem, men den der, den slår alt.
00:04:18 - 00:04:22  |    Så hvis man er til smukke lamper og alt muligt andet, gå derned og kigge.
00:04:22 - 00:04:28  |    Jeg kan huske, i begyndelsen af 50'erne, der lå den hos mig, den hed den Stolen eller et eller andet.
00:04:28 - 00:04:31  |    Det ved jeg ikke. Så længe har jeg ikke boet her.
00:04:31 - 00:04:50  |    Jeg har kun boet her indtil 15 år.
