00:00:00 - 00:00:08  |    Tilsyneligvis er sundhedsvæsenet bløder og kræftigere end først antaget.
00:00:08 - 00:00:12  |    Det viser et grundigt eftersyn, som sundhedsministeren præsenterede i dag.
00:00:12 - 00:00:17  |    Selvom der er tilført flere penge og 7.500 ekstra antagde de seneste tre år,
00:00:17 - 00:00:23  |    så er antallet af patienter, der får behandling, faldet, mens vendtetiden på operationer fortsat stiger.
00:00:23 - 00:00:28  |    En af årsagerne er manglen på særligt to grupper, anestesi og intensiv sygeplejersker.
00:00:28 - 00:00:33  |    Men tilbage står altså patienter med daglige smerter og frustration.
00:00:35 - 00:00:37  |    Hvor lang tid kan man holde til at stå her?
00:00:37 - 00:00:40  |    Jamen 20 minutter, så er jeg nødt til at stå og sidde igen.
00:00:40 - 00:00:45  |    For Jeanette Mikkelsen er problemet helt simpelt at kunne stå og gå.
00:00:45 - 00:00:52  |    Jeg har ondt i begge hofter lige nu, og det havde jeg også før. Så det tager på kræfterne.
00:00:52 - 00:00:58  |    Den 39-årige Silkeborg Genser har svært slidgik i begge hofter og har været sygemeldt i et år.
00:00:58 - 00:01:02  |    Det er rigtig invaliderende på hverdagen. Jeg har også to små børn,
00:01:02 - 00:01:06  |    og når man har chroniske smerter, så føler jeg det også sådan en træthed med.
00:01:06 - 00:01:10  |    10. oktober sidste år skulle hun efter planen have været opereret.
00:01:10 - 00:01:13  |    Den blev udskudt tre uger før på grund af personalemangel.
00:01:13 - 00:01:19  |    Og først halvanden måned efter lykkedes det at få opereret en ny kunstig hofte i højre side.
00:01:19 - 00:01:24  |    Jeg kan bare mærke, at det bliver godt. Det er så dejligt, og jeg skal bare have den anden opereret så hurtigt som muligt.
00:01:24 - 00:01:29  |    Men 85.000 patienter står på venteliste til en operation,
00:01:29 - 00:01:35  |    og i dag kunne en ny rapport fra Sundhedsministeriet konkludere, at ventetiderne går den forkerte vej.
00:01:35 - 00:01:42  |    Det er alvorligt, og det kommer til nu at kræve, at vi sætter ind med en bred vefte initiativer for,
00:01:42 - 00:01:47  |    at vi kan begynde at få afviklet ventelister reelt og ikke bare leve med status quo.
00:01:47 - 00:01:54  |    På knap tre år er ventetiden for patienter med ikke-akute behandlinger sted fra varer godt 30 dage,
00:01:54 - 00:01:58  |    til at man nu i gennemsnit skal vente 46 dage.
00:01:58 - 00:02:03  |    Alle sygehusene, hører vi jo om, er presset. Så kan du ikke også godt forstå,
00:02:03 - 00:02:09  |    at der måske er nogen med mere akute eller livstruende sygdomme, der kommer før dig i det pressede sygehusvæsen, som vi har den dag.
00:02:09 - 00:02:12  |    Jo, selvfølgelig kan jeg det, og mit er jo heldigvis ikke livstruende.
00:02:12 - 00:02:16  |    Så selvfølgelig skal nogen med livstruende sygdomme før i køen end mig.
00:02:16 - 00:02:22  |    Det er der slet ikke nogen tvivl om. Men der skal også bare nogle flere hænder til på sygehusene, så der ikke er så langt ventetiden.
00:02:22 - 00:02:24  |    Det er mega hårdt, eller hvad?
00:02:24 - 00:02:28  |    Ja, det er det, for det gør ondt i musklerne. Men det er jo dem, jeg skal genoptræne, kan man sige.
00:02:28 - 00:02:34  |    I slutningen af maj skal Jeanette Mikkelsen igen under kniven. Denne gang operation i venstre hofte.
00:02:34 - 00:02:37  |    Så der er også næsten seks måneders ventetid på den.
00:02:37 - 00:02:38  |    Hvordan er det?
00:02:38 - 00:02:44  |    Det er mega frustrerende. Nu er jeg ligesom i gang, så nu kan jeg ligesom også forhåbentlig begynde at se en ende på det.
00:02:44 - 00:02:48  |    Men jeg er selvfølgelig bange for, at den næste den også bliver udskudt.
00:02:48 - 00:02:53  |    Der er afsat to milliarder kroner til sundhedsvæsenet over de næste to år.
00:02:53 - 00:02:58  |    Og i dag gik regeringen og regionerne i gang med at diskutere en akut redningsplan.
00:02:58 - 00:03:07  |    Blandt andet hvordan der kan skaffes flere anestesi og intensiv sygeplejsker, som er afgørende for at udføre operationer.
00:03:07 - 00:03:12  |    Det er rigtig vigtigt, at vi er enige om de udfordringer der er, og vi er også taget fat i dialogen omkring, hvad skal vi gøre ved det.
00:03:12 - 00:03:19  |    Vi kan ikke løse det fra den ene dag, men vi har nu fra regeringens side givet hånd på, at det her har højeste prioriteter.
00:03:19 - 00:03:22  |    Vi får lavet en akut plan sammen med regionerne.
00:03:22 - 00:03:28  |    På sigt drømmer Jeanette Mikkelsen og familien om at flytte fra lejligheden og købe et lille hus.
