00:01:20 - 00:01:23  |    Kastro, ej, det ser så fint ud.
00:01:24 - 00:01:26  |    Er du klar? Ja.
00:01:26 - 00:01:28  |    Hvis du vil starte med at sige, hvad du hedder?
00:01:28 - 00:01:31  |    Trine Møller, jeg er politiespektør i Københavns politi.
00:01:33 - 00:01:36  |    Hvad at bare er sket her ved Dravø og Fort?
00:01:37 - 00:01:44  |    I aftenen er der en map, som vi har meldt ud på 54 år, som der blev overfaldet og desværre efterfølgende afgået ved døden.
00:01:45 - 00:01:49  |    Undskyld, jeg får lige trykket på noget, der gav noget helt vildt. Ja, med igen.
00:01:49 - 00:01:51  |    Skal vi tage det igen?
00:01:51 - 00:01:53  |    Nej, det var fint.
00:01:53 - 00:01:56  |    Hvad kan I mere at sige om i forhold til efterforskning?
00:01:57 - 00:02:01  |    På nuværende tidspunkt kan vi ikke sige så meget, end vi har gang i en bred og intens efterforskning.
00:02:02 - 00:02:08  |    Det vi kan sige er, at der er intet, der indikerer, at det er en tilfældig offer, der har været genstand for den her forbrudelse.
00:02:09 - 00:02:11  |    Hvad skal der så ske nu?
00:02:11 - 00:02:15  |    Nu efterforsker vi bredt. Der er nogle vidner, vi skal afhøre. Der er en masse spor, vi skal have sikret.
00:02:15 - 00:02:18  |    Og så kigger vi selvfølgelig bredt, som vi gør af sådan nogle alvorlige sager.
00:02:18 - 00:02:23  |    Vi har alle hypoteser i spil, og det er jo selvfølgelig det, vi skal efterprøve nu, for at finde ud af, hvad er det reelt, der er foregået.
00:02:24 - 00:02:28  |    Men hvis det ikke var en tilfældig mand, hvem var det så?
00:02:29 - 00:02:31  |    På nuværende tidspunkt kan vi ikke sige yderligere.
00:02:31 - 00:02:38  |    Men det første, vi har set i efterforskning, det er bare, kan vi sige, at der er intet, der indikerer, at det skulle være en tilfældig offer, der har været udsat for en forbrudelse.
00:02:39 - 00:02:43  |    Hvad så, hvis man er borger i drage og er utryg, fordi det jo er sket her?
00:02:43 - 00:02:47  |    Vi forstår selvfølgelig godt, hvis man som borger i drage er utryg over det, der er sket.
00:02:47 - 00:02:50  |    Men det er også derfor, vi går ud og siger, at der er intet, der tyder på, at det er tilfældigt.
00:02:50 - 00:02:53  |    Så vi mener, at borgerne i drage kan være trygge.
00:02:53 - 00:03:00  |    Derfor har jeg fået imod en tidlag, så vi vil også have vores nærpolitiske steder herude, både med vores mobile politistation, men også med en opsøgende indsats.
00:03:00 - 00:03:06  |    Så hvis der er nogen, der er utrygge, eller har nogle spørgsmål, eller har nogle oplysninger, så kan de komme herned, og så kan de snakke med os.
00:03:07 - 00:03:11  |    Kan man sige, om det er noget ærestrap, eller noget bandeopgør, eller noget i den dur?
00:03:11 - 00:03:13  |    Nej, det er alt for tidligt.
00:03:13 - 00:03:17  |    Som sagt, så har vi en bred og intens efterforskning, og det er jo det, vi skal kigge på nu.
00:03:17 - 00:03:20  |    Prøv at finde ud af og stykke det her sammen og sige, hvad er det reelt, der er sket.
00:03:20 - 00:03:23  |    Og en af de ting, man gør, er at prøve at finde ud af, hvad er motivet.
00:03:23 - 00:03:25  |    Men på nuværende tidspunkt, så kan vi ikke sige noget.
00:03:25 - 00:03:28  |    Hvordan kan det så være, at I er de vel, melder noget ud på nuværende tidspunkt?
00:03:28 - 00:03:34  |    Vi vil gerne signalere over for borgerne i dragehør, at vi ikke tror, at det her, det er noget, der er sket tilfældigt.
00:03:34 - 00:03:41  |    Og på den måde, at man kan føle sig tryg og signalere, at politiet har styr på det her, vi er i gang med en intens efterforskning,
00:03:41 - 00:03:44  |    i forhold til at finde ud af, hvad det er, der er foregået herude.
00:03:44 - 00:03:47  |    Er der ellers noget usædvanligt ved det her overfald?
00:03:47 - 00:03:52  |    Det er også for tidligt at sige, men umiddelbart er der ikke noget, der indikerer på, at der skulle være noget, der var usædvanligt.
00:03:53 - 00:03:54  |    Skal du have?
00:03:54 - 00:03:56  |    Skal vi have et dækbillede til?
00:03:56 - 00:03:58  |    Ja, ja, ja.
00:03:58 - 00:04:03  |    Hvorfor kalder man så beredskabs? Er det for at spære af, eller?
00:04:03 - 00:04:08  |    Det er for at spære af. Vi bruger enormt mange ressourcer for det, og så for at frihive vores egne.
00:04:08 - 00:04:16  |    Så har vi en aftale med de, der kommer, og så hjælper de jo netop med afspæringen, i forhold til de ting, der er, og så skal vi prøve at sige folk for det.
00:04:16 - 00:04:18  |    Og hvor mange kalder man ud?
00:04:18 - 00:04:21  |    Jeg ved faktisk ikke, hvor mange de har, så skal vi helt ærlig.
00:04:21 - 00:04:25  |    Det kommer jeg selv på tro, hvor mange de har. Der ligger sådan nogle aftaler, vi kan jo bruge dem til beboffning.
00:04:25 - 00:04:30  |    Okay. Og der kan jo også være noget efterfølgende, hvor altså gerningstedet skal bevognes, hvor vi så kan få frihiv.
00:04:30 - 00:04:31  |    Ja.
00:04:31 - 00:04:33  |    Der kommer beredskabsstyrelsen så.
00:04:33 - 00:04:36  |    Okay. Og hvor længe fortsætter I herude? Er det bare?
00:04:36 - 00:04:56  |    Jeg tror, vi fortsætter indtil vi er færdige. Det kommer an på, hvor stort er gerningstedet. Hvad er området? Hvor mange spor er der?
00:05:06 - 00:05:12  |    Det kommer an på, hvor vi er færdige. Det kommer an på, hvor vi er færdige. Det kommer an på, hvor vi er færdige.
