00:00:00 - 00:00:07  |    Ja, men lad os prøve at kaste os ud i det. Hvis der er et af dem, vi skal have igen, så gør vi det.
00:00:07 - 00:00:10  |    Men hvis du starter med navnet til, Sten, så har vi i hvert fald det med.
00:00:10 - 00:00:16  |    Ja, Sten Bønnesing, Sten Stafsmidt E og professor i forvaltningsret på Aalborg Universitet.
00:00:16 - 00:00:17  |    Godt.
00:00:17 - 00:00:24  |    Sten Huseyer har ret til at klage over den ejendomsturdering, de får nu, hvor de endelig er begyndt at få dem, kan man sige.
00:00:24 - 00:00:32  |    Men vurderingsstyrelsen siger til dem, at du må altså vente med at klage, til vi sender et klagestartsbrev eller et link til sådan en klageskabelån.
00:00:32 - 00:00:40  |    Hvad siger du til, at borgerne de stilles i en situation, hvor de altså må vente med at klage, indtil styrelsens klageadgang fungerer?
00:00:40 - 00:00:51  |    Jeg synes, det virker helt urinligt, at den klageadgang man har, at den har man ikke mulighed for at udnytte, kan man sige, når man får afgørelsen.
00:00:51 - 00:00:58  |    Fordi man simpelthen ikke er klar med et digitalt system, der kan håndtere ens klager.
00:00:58 - 00:01:05  |    Men hvorfor er det urinligt? Kunne man så ikke bare vente og se, at vi tager den, når det så er klar?
00:01:05 - 00:01:14  |    Jo, men på Englanderne bag et klagesystem, det er jo, at man kan føle, at man har mulighed for at blive hørt.
00:01:14 - 00:01:20  |    At man kan komme af med sine indsigelser og at man kan få lov til at fortælle, at man er uenig.
00:01:20 - 00:01:30  |    Og derfor så er det ikke tilfredsdelende, hvis man får at vide, at nu må du vente x antal måneder, til du kan få lov til at komme af med dine klage.
00:01:30 - 00:01:36  |    Hvad er det for en grundlæggende klageret, som skatser på den måde, ligesom jeg gradbøjer?
00:01:36 - 00:01:49  |    Der er jo i dag pligt til, som myndighed sørger for, når man laver et IT-system, at man så også tænker det sammen, og så tænker det helt til ende.
00:01:49 - 00:01:59  |    Og her har man tilsyneladende glemt at få klage-modulet med i planen.
00:01:59 - 00:02:19  |    Ved jeg ikke, om det er noget, du vil svare på, men kan der også ligge sådan en eller anden risiko for, hvis der for skål er an til for det her, det kommer så på benene, at man som husejere glemmer det, men måske ikke er helt lige så ops på det her?
00:02:19 - 00:02:35  |    Ja, der kan jo være en risiko for, at de borgere, der modtager afgørelsen, bliver trætte af at vente. De opgiver nogle klager alene af den grund, at det er så besværeligt at komme af med sine klage.
00:02:35 - 00:02:42  |    Og det er jo ikke hensigtsmæssigt, at det er det, der gør, at folk ikke klager.
00:02:42 - 00:02:47  |    Hvad kan man så som husejere stille op, hvis en myndighed trækker ens klageadgang i Langdorf?
00:02:47 - 00:02:53  |    Det er jo rigtig svært at stille op med, at man gerne vil klage, men at der ikke er en klagemulighed.
00:02:53 - 00:03:04  |    Mit bud ville være, at man sender sin klage til skat, altså at man pakker det i en e-mail eller i en gammeldags kuvert, og så sender det til skat.
00:03:04 - 00:03:07  |    Og så må de jo se, hvordan de vil håndtere klagen.
00:03:07 - 00:03:18  |    Ja, fordi det nye vurderingssystem, det er jo digitalt baseret, men hvis ikke I kan få det her IT-system til at køre efter hensigten, er det så ok at slække på mulighederne?
00:03:18 - 00:03:22  |    Ja, det kan du få med.
00:03:22 - 00:03:32  |    Det nye vurderingssystem er digitalt baseret, og en del af forklaringen på, at det så er forsænket, at skat ikke kan få IT-systemet til at køre efter hensigten,
00:03:32 - 00:03:36  |    gør det det ok at slække på muligheden for at klage?
00:03:36 - 00:03:38  |    Nej, bestemt ikke.
00:03:38 - 00:03:49  |    Det er et krav i dag, at når man udruller IT-systemer i det offentlige, så har man indtænkt alle forvaltningsregelige rettigheder,
00:03:49 - 00:04:00  |    og indtænkt i andre systemer, så det hænger sammen, og at man får en fuldstændig sagshontering.
00:04:00 - 00:04:10  |    Det sidste spørgsmål, det er kun 10% af danske husejere, der har fået en ny vurdering, og for 1. april overud skal der så sendes 1,5 millioner egnetomsvurderinger afsted,
00:04:10 - 00:04:14  |    og med det må man så også have forventet større tryk på klagesager.
00:04:14 - 00:04:24  |    Hvis man ved, at man ikke har kapaciteten til at behandle de uderinger, der allerede er sendt ud, og de klagesager, der er kommet på baggrund af det,
00:04:24 - 00:04:28  |    er det så lovligt at sende mange flere vurderinger ud?
00:04:28 - 00:04:36  |    Hvis man realistisk vurderer, at det kan godt lade sig gøre at være i mål med hele systemet, inden man ruller de sidste sager ud, så er det selvfølgelig fint,
00:04:36 - 00:04:51  |    men hvis man ikke har en realistisk fornemmelse af, at man bliver klar med klagemodulet, så mener jeg faktisk, at det er i strid med reglerne at udrulle det næste generation i systemet.
00:04:51 - 00:04:56  |    Fordi det simpelthen er en ret, man som borger har, at have en klagemulighed?
00:04:56 - 00:05:08  |    Der er en pligt til som offentlig myndighed, at når man udruller et system, så har man hele systemet klart, så at alle ens rettigheder som borger er indtængt i systemet.
00:05:08 - 00:05:11  |    Godt. Jeg kigger lige her.
00:05:17 - 00:05:22  |    Ja, det tror jeg var det. Er der noget, du tænker, vi mangler, Sten?
00:05:22 - 00:05:23  |    Nej, jeg tror faktisk.
00:05:23 - 00:05:26  |    Jeg kan lige se, om jeg kan spotte det.
00:05:26 - 00:05:30  |    Jo, hernede i seneste nyt, så kører det lidt ned.
00:05:30 - 00:05:34  |    Jeg tror, det er koplet meget af wifi'et, fordi jeg tror, den driller.
00:05:34 - 00:05:38  |    Ja, eller bare kører lidt ned, så er der sådan en grafik med en masse blå tage på.
00:05:38 - 00:05:42  |    Ja, det er den rigtige.
00:05:42 - 00:05:45  |    Har i måneders bist været fanget i et forsimplet klagesystem?
00:05:45 - 00:05:48  |    Yes, lige præcis.
00:05:48 - 00:05:51  |    Det var det.
