00:00:00 - 00:00:02  |    Ja.
00:00:07 - 00:00:09  |    Hvad starter du med at sige?
00:00:13 - 00:00:15  |    Jeg kan ingenting høre.
00:00:20 - 00:00:22  |    Er det studiet eller hvad?
00:00:22 - 00:00:24  |    Jeg kan høre dig meget svagt.
00:00:24 - 00:00:27  |    Jeg kan næsten ikke høre de højere inde i TV, end det du er.
00:00:27 - 00:00:29  |    Hvorfor er den så høj?
00:00:33 - 00:00:35  |    Nej.
00:00:35 - 00:00:37  |    Prøv at sige noget nu.
00:00:42 - 00:00:44  |    Ja, nu kan jeg høre dig.
00:00:44 - 00:00:52  |    Jeg står mikrofonen helt oppe i munden.
00:01:01 - 00:01:03  |    Om et minut? Ja.
00:01:08 - 00:01:10  |    Jeg har sagt ja.
00:01:10 - 00:01:12  |    Hvad siger du?
00:01:12 - 00:01:14  |    Fint.
00:01:16 - 00:01:20  |    Det er fint. Du står bare om 45. Hvor skal vi stå henne?
00:01:20 - 00:01:22  |    Jeg starter med at sige noget.
00:01:22 - 00:01:24  |    Om TV'et, at de sidder og følger med.
00:01:24 - 00:01:26  |    Skal jeg stå her?
00:01:28 - 00:01:30  |    Er I ikke klar?
00:01:30 - 00:01:32  |    Ja.
00:01:32 - 00:01:34  |    Så klar som vi kan blive, tror jeg.
00:01:34 - 00:01:36  |    Sådan.
00:01:38 - 00:01:40  |    Jeg sætter mig bare i sofaen.
00:01:40 - 00:01:42  |    Ja.
00:01:42 - 00:02:04  |    Sådan.
00:02:12 - 00:02:14  |    Sådan.
00:02:42 - 00:02:57  |    Head Coach
00:02:57 - 00:03:00  |    Ja, vi har taget på besøg hos familien Østjörk Andersen,
00:03:00 - 00:03:02  |    som lige nu sidder og følger med i Tyrkis C&N.
00:03:02 - 00:03:04  |    Og telefonen har også lige ringet.
00:03:04 - 00:03:08  |    For det er, Arkan Østjörk, du har din familie,
00:03:08 - 00:03:12  |    som bor i EPI-centeret ved det her jordskald.
00:03:38 - 00:03:43  |    Det er deres forældre og mødre der driver der til at tage barnet til hospitalet i Ankara.
00:03:43 - 00:03:46  |    Fordi to af de barn bør bære jorden fra mig.
