00:00:00 - 00:00:01  |    Meet Jasi.
00:00:03 - 00:00:04  |    Take it.
00:00:06 - 00:00:07  |    Great work.
00:00:10 - 00:00:11  |    Wait, wait, wait, sorry.
00:00:14 - 00:00:15  |    Olsengang.
00:00:15 - 00:00:17  |    The Olsengang.
00:00:17 - 00:00:19  |    Olsengang.
00:00:29 - 00:00:30  |    Thank you.
00:00:32 - 00:00:33  |    Hello.
00:00:33 - 00:00:34  |    Hello.
00:00:35 - 00:00:36  |    Nice to meet you.
00:00:36 - 00:00:37  |    Hello.
00:00:37 - 00:00:38  |    My name is Jurek.
00:00:38 - 00:00:39  |    Hello.
00:00:39 - 00:00:40  |    My name is Jurek.
00:00:40 - 00:00:41  |    My name is Jurek.
00:00:41 - 00:00:42  |    Hello.
00:00:42 - 00:00:43  |    Hello.
00:00:43 - 00:00:44  |    I'm Peter.
00:00:44 - 00:00:45  |    This is Bjorn.
00:00:45 - 00:00:46  |    Thank you.
00:00:46 - 00:00:47  |    You're very nice.
00:00:48 - 00:00:51  |    Thank you so much for taking the time to meet us.
00:00:51 - 00:00:52  |    No problem.
00:00:53 - 00:00:57  |    For me, I'm very happy to see you here in Poland.
00:00:58 - 00:01:01  |    Yeah, because you traveled a lot to Denmark and have visitors from Denmark.
00:01:01 - 00:01:02  |    Is that right?
00:01:02 - 00:01:03  |    Yes.
00:01:06 - 00:01:13  |    Why did you start doing the friendship arrangement with Denmark?
00:01:13 - 00:01:15  |    It was many years ago.
00:01:15 - 00:01:22  |    In this time, I was in the mayor of the common council in Skowoo.
00:01:22 - 00:01:30  |    We were going to Denmark because I have learned how is democratic system in Denmark.
00:01:30 - 00:01:33  |    How is organization common.
00:01:33 - 00:01:35  |    It was the first step.
00:01:35 - 00:01:40  |    My friend who is going together to Denmark.
00:01:40 - 00:01:45  |    For me and my friend in Poland, everything is new.
00:01:47 - 00:01:48  |    How do we do it?
00:01:48 - 00:01:49  |    What do we do?
00:01:49 - 00:01:50  |    What is better?
00:01:50 - 00:01:52  |    How is it in the common system?
00:01:53 - 00:01:54  |    It's very different.
00:01:56 - 00:01:58  |    We have learned everything.
