00:00:00 - 00:00:04  |    Vi starter i hvert fald lige med navnet og titel, hvis du vil stå sammen med det.
00:00:04 - 00:00:10  |    Ja, Thomas Bredegård, og jeg er professor i arbejdsmarkedsforhold her på Center for Arbejdsmarkedsforskning på Aalbu Universitet.
00:00:10 - 00:00:12  |    Man ser jo mange af jer.
00:00:12 - 00:00:14  |    Og Bredegård kan sige det med AA.
00:00:14 - 00:00:15  |    Ja.
00:00:15 - 00:00:17  |    Og Thomas lige ude ad denne vej med HTH.
00:00:17 - 00:00:18  |    Fint.
00:00:18 - 00:00:20  |    Hvis vi starter helt fra toppen her.
00:00:20 - 00:00:25  |    Nordlys har lanceret nu en ordning her fra 1. marts, hvor man kan holde alle de syge dage med syge børn, som man har brug for.
00:00:25 - 00:00:27  |    Hvad tænker du om den ordning?
00:00:27 - 00:00:33  |    Det er en rigtig god idé, både i forhold til at fastholde sine medarbejdere, men faktisk også i forhold til at rekrutere nye medarbejdere.
00:00:33 - 00:00:37  |    Fordi jeg tror, det her er et reelt problem, som man har ude i mange børnefamilier.
00:00:37 - 00:00:42  |    Hvor kommer den her idé fra, tror du? Er det noget, der har fyldt meget blandt Lundmaterium?
00:00:42 - 00:00:49  |    Det er svært at sige, men jeg formoder, at Nordlys har oplevet, at der er et behov blandt deres medarbejdere.
00:00:49 - 00:00:54  |    Og man kan sige, det er måske et behov, som ikke rigtig bliver imødekommet i de overenskomster, vi har i øjeblikket.
00:00:54 - 00:00:58  |    Er der en grund til, at de ikke bliver imødekommet i de overenskomster, vi har i øjeblikket?
00:00:58 - 00:01:04  |    Altså, man har jo ret til første og nogle gange anden syge dag i overenskomsterne.
00:01:04 - 00:01:11  |    Men de fleste børnefamilier har jo ofte langt større behov. Det er jo ikke sådan, at barnet stopper med at være syge på dag to.
00:01:11 - 00:01:18  |    Så på den måde, der er der et reelt behov her, som man ikke har responderet på i fagbevægelsen. Hidtil i hvert fald.
00:01:18 - 00:01:21  |    Så kan man sige, at det er godt set af Nordlys, det her?
00:01:21 - 00:01:27  |    Ja, det synes jeg faktisk. På den måde, den her idé kunne jeg også forestille mig, ville sprede sig til andre virksomheder.
00:01:27 - 00:01:32  |    Og det kan også godt være, at det spreder sig så meget, at det bliver et overenskomstkrav fremover.
00:01:32 - 00:01:39  |    Du nævnte lige før, at det ikke er noget, der typisk fylder på i overenskomstforhandlingerne, vilkår blandt andet i forhold til syge børn.
00:01:39 - 00:01:41  |    Hvorfor er det det ikke fylder mere?
00:01:41 - 00:01:46  |    Jeg tror, det er ligesom en afgrænset gruppe af medlemmer og småbørnsfamilierne, der har det her reelle behov.
00:01:46 - 00:01:53  |    Så derfor har det måske en tendens til at blive skubbet lidt ned af prioriteringslisten i fagbevægelsen, når man skal ud og forhente ny overenskomster.
00:01:53 - 00:01:57  |    Men hvis det her nu bliver taget godt imod, kunne det så være noget, der kommer til at fylde mere?
00:01:57 - 00:02:01  |    Ikke nogenvis på grund af det her, men tror du, det kunne komme til at fylde mere på set?
00:02:01 - 00:02:06  |    Ja, det tror jeg faktisk, og på den måde er det jo godt, at der er nogle virksomheder, der går foran og viser det gode eksempel.
00:02:06 - 00:02:11  |    Så kan de også vise det gode eksempel i forhold til fagbevægelsen, at det her er faktisk et reelt behov, som man bør imødekomme.
00:02:11 - 00:02:17  |    Er det her for alle, nu er Nordlivision en stor virksomhed, er det her for alle, er det en mulighed for alle virksomheder?
00:02:17 - 00:02:21  |    Ja, det tror jeg for så vidt, at alle virksomheder kan indføre.
00:02:21 - 00:02:24  |    Ulæmpen ved det er selvfølgelig, at man umiddelbart mister noget arbejdskraft.
00:02:24 - 00:02:31  |    Altså, at der er nogen, der skal være hjemme og passe de syge børn, som man så ikke kan have ind på arbejdspladsen.
00:02:31 - 00:02:32  |    Hvad er fordelen med det så?
00:02:32 - 00:02:42  |    En fordelen er selvfølgelig, at man får nogle medarbejdere, der trives i langt højere grad, bliver måske mere tilfredse med deres arbejde, og at man selvfølgelig kan rekrutere nye medarbejdere.
00:02:42 - 00:02:47  |    Men den lille virksomhed, Tømmervirksomheden, det kan være kontoret, der skal hænge sammen.
00:02:47 - 00:02:51  |    Ser du, at det her kan have en bred appell?
00:02:51 - 00:02:56  |    Ja, det tror jeg faktisk. Jeg kan ikke se, hvorfor mindre virksomheder ikke også skulle kunne indføre det her.
00:02:56 - 00:03:00  |    De har jo også en interesse i at kunne fastholde og tiltrække dygtige medarbejdere.
00:03:00 - 00:03:05  |    Nu er det jo sæsonen for overenskomstforhandlinger lige nu. Du sagde også, at det fylder ikke så meget.
00:03:05 - 00:03:10  |    Er man inde at pille med nogle ting her, som egentlig burde foregå i overenskomst?
00:03:10 - 00:03:19  |    Ja, faktisk er det jo traditionelt et overenskomstspørgsmål. Det er at forhandle medarbejdernes muligheder for at få syge fra hver.
00:03:19 - 00:03:27  |    Så det er måske lidt udtryk for, at det ikke rigtigt er blevet imødekommet i overenskomstforhandlingerne, at virksomhederne viser vejen her.
00:03:27 - 00:03:29  |    Er det et problem, at de gør det?
00:03:29 - 00:03:36  |    Jamen det er jo altid en prioritering i forhold til, hvad er de vigtigste emner at tage op på dagsorden.
00:03:36 - 00:03:45  |    Og der har farbevægelsen jo en god måde at gøre det på, hvor det her måske har lidt en tendens til at blive skubbet lidt længere ned på listen.
00:03:45 - 00:03:49  |    Så de kan måske godt komme til at bære en ny vej for, hvad det kan komme til at handle om?
00:03:49 - 00:03:55  |    Ja, det her kan jo være med til, at der bliver et større pres og et større ønske om, at man går i den her retning.
00:03:55 - 00:04:00  |    Hvis det nu viser sig, at det også i virkeligheden er en rigtig god idé.
00:04:00 - 00:04:03  |    Det kan tiden så vise. Det er en god idé.
00:04:07 - 00:04:11  |    Ja, det tror jeg, at jeg gerne ville spørge om.
00:04:11 - 00:04:20  |    Tak, det var lidt engang.
00:04:41 - 00:04:43  |    Tak.
00:05:11 - 00:05:13  |    Tak.
