00:00:00 - 00:00:00  |    Pfff
00:00:06 - 00:00:09  |    Jeg skal fandme klappe så alle kan høre det bare
00:00:09 - 00:00:10  |    Wuuuukk
00:00:10 - 00:00:12  |    Jeg synes jeg prøvede at høre det
00:00:12 - 00:00:14  |    Meget meget ljust klap det der
00:00:16 - 00:00:17  |    Meget ljust klap
00:00:18 - 00:00:19  |    Wuuukk
00:00:22 - 00:00:23  |    Og nu kan du høre noget der også
00:00:23 - 00:00:24  |    Jeg hører så meget der
00:00:25 - 00:00:26  |    Du har også hørt klappet faktisk
00:00:26 - 00:00:29  |    Øh, der var jeg faktisk, der havde jeg lige så hørt dem høre af
00:00:29 - 00:00:30  |    Okay
00:00:32 - 00:00:33  |    Så er vi alle sammen klar?
00:00:33 - 00:00:33  |    Ja
00:00:33 - 00:00:34  |    Så er vi af
00:00:34 - 00:00:36  |    Vi starter bare helt stille og roligt med ikke
00:00:36 - 00:00:38  |    Vil du ikke starte med at præsentere dig selv med navn?
00:00:38 - 00:00:40  |    Og så hvad du ligesom laver?
00:00:41 - 00:00:44  |    Jeg hedder Mikkel Jøndahl og jeg
00:00:44 - 00:00:47  |    Er nærmere primært ved at optræde som stand-up-kommuner
00:00:48 - 00:00:51  |    Hvad har du ellers af forskellige roller på din serie?
00:00:51 - 00:00:54  |    Jeg er
00:00:54 - 00:00:58  |    Ud over det og så uuddannet manuskriptforfatter
00:00:58 - 00:01:01  |    Jeg har også været uuddannet skuespiller
00:01:02 - 00:01:04  |    Til næste gæld
00:01:05 - 00:01:08  |    Fuldt uddannet i begejstning over at prøve nye ting
00:01:08 - 00:01:10  |    Så, men ja
00:01:10 - 00:01:14  |    Ikke det store lange uddannelsesmæssige CV
00:01:14 - 00:01:24  |    Men dog flere ting på arbejds-CV'et
00:01:29 - 00:01:33  |    Det er ledningerne, der hænger fast kerbslydder
00:01:33 - 00:01:37  |    Og vil du ikke fortælle, hvor du er nået så?
00:01:37 - 00:01:41  |    Jeg er opvokset på Falster
00:01:41 - 00:01:43  |    Fra jeg har været
00:01:43 - 00:01:45  |    Jeg kan faktisk ikke selv huske det
00:01:45 - 00:01:47  |    Jeg er født i Jylland
00:01:47 - 00:01:50  |    I Silkeborg
00:01:50 - 00:01:53  |    Men mine forældre bliver ret hurtigt skilt
00:01:53 - 00:01:55  |    Og min mor, hun er
00:01:55 - 00:01:57  |    Fået i Jylland
00:01:57 - 00:01:59  |    Og jeg har været i Jylland
00:01:59 - 00:02:01  |    Og jeg har været i Jylland
00:02:01 - 00:02:04  |    Og min mor, hun flytter til Falster
00:02:04 - 00:02:08  |    Så jeg kan ikke huske, at jeg har boet andre steder ind på Falster
00:02:08 - 00:02:12  |    Og hvad er det for en slags familie, du er vokset op i?
00:02:12 - 00:02:16  |    Du er det der, vi snakker om, at du måske ikke nødvendigvis har fået hele det her kunstneriske
00:02:16 - 00:02:19  |    Og stand-up-miljøet med hjemmefra
00:02:19 - 00:02:23  |    Jamen, jeg er vokset op i en familie, hvor min mor, hun var kontorassistent
00:02:23 - 00:02:27  |    På den store skyldetøjsfabrik
00:02:27 - 00:02:33  |    Grøntæs Frostvarfabrik nede på Falkenborg
00:02:33 - 00:02:37  |    Som er et sted i Nykøbing
00:02:37 - 00:02:40  |    Og min stedfar, han var radio- og tv-mekaniker
00:02:40 - 00:02:45  |    Og senere hen var han, jeg er lidt mærkelig, pedel på McDonalds
00:02:45 - 00:02:51  |    Og rensingsanlægs-service-medarbejder
00:02:51 - 00:02:55  |    Og hvor mange år har du været komik?
00:02:55 - 00:02:59  |    Jeg har været komiker
00:02:59 - 00:03:02  |    Jeg er ikke, jeg er ikke
00:03:02 - 00:03:08  |    Altså ifølge andre, så har jeg været fra 1993
00:03:08 - 00:03:12  |    Jeg er ikke den store årstalsrytter selv
00:03:12 - 00:03:15  |    Du kan også bare sige det sådan, altså cirka
00:03:15 - 00:03:18  |    Jeg var komiker cirka siden jeg var her
00:03:18 - 00:03:23  |    Jeg har været komiker cirka siden 1993
00:03:23 - 00:03:26  |    Og hvad kan du bedst lide ved dit job?
00:03:26 - 00:03:31  |    Jeg kan bedst lide, at det, at jeg kommer og optræder for folk
00:03:31 - 00:03:34  |    Som udgangspunkt, er meget positivt
00:03:34 - 00:03:38  |    Og at folk går hjem, forhåbentlig med en rar følelse
00:03:38 - 00:03:44  |    Det er bare essentielt fedt at få folk til at grine
00:03:44 - 00:03:47  |    Hvordan føles det at få folk til at grine?
00:03:47 - 00:03:52  |    Det er en kæmpe selvtillfredsstillelse
00:03:52 - 00:03:54  |    Så kan du prøve at sige det, så du forstår
00:03:54 - 00:04:00  |    Hvad kan du beskrive, hvordan det er at få folk til at grine?
00:04:00 - 00:04:07  |    Det at få folk til at grine, er for mig en kæmpe selvtillfredsstillelse
00:04:07 - 00:04:13  |    Det er bare fedt
00:04:13 - 00:04:15  |    Det er et skide godt svar
00:04:15 - 00:04:18  |    Det er også et svært spørgsmål, du kan svare på
00:04:18 - 00:04:24  |    Jeg ved ikke om man kan sige sådan noget, om man føler, om man får noget adrenaline
00:04:24 - 00:04:29  |    Hvordan er det, når man står på scenen, og man kan mærke, at der er en form for sådan
00:04:29 - 00:04:35  |    Jeg ved ikke, hvad du har sagt, men hvor er det reaktion?
00:04:35 - 00:04:40  |    Det, der er fedt ved at optræde, det er for mig glæde
00:04:40 - 00:04:42  |    Og den glæde, jeg giver
00:04:42 - 00:04:47  |    Og så den der umiddelbarhed, der er i et grin for publikum
00:04:47 - 00:04:52  |    At et grin er en lille energiudlanding
00:04:52 - 00:04:59  |    Og at principen er et positivt chok på en eller anden måde
00:04:59 - 00:05:02  |    Så det er mega fedt
00:05:02 - 00:05:06  |    Er du god til, hvad du laver?
00:05:06 - 00:05:09  |    Om jeg synes, jeg er god til det, jeg laver
00:05:09 - 00:05:11  |    Det skal andre skulle svare på
00:05:11 - 00:05:16  |    Jeg synes, det er enormt svært at bedøme eget arbejde
00:05:16 - 00:05:21  |    Og så kunne jeg i hvert fald helt sikkert finde nogen, der synes, jeg ikke er god til det
00:05:21 - 00:05:25  |    Det er ligesom, du har generelt en lidt svært ved at rose dig selv
00:05:25 - 00:05:31  |    Nej, det ved jeg ikke, men jeg kan godt rose mig selv, men så gør jeg noget alene
00:05:31 - 00:05:43  |    Hvorfor tror du, du har påholdt dig relevant så længe?
00:05:43 - 00:05:48  |    Jeg tror, at grunden til, at jeg stadigvæk er på den danske stand-up-scene
00:05:48 - 00:05:53  |    Er, at jeg er meget disciplineret
00:05:53 - 00:06:02  |    Og så føler jeg også, at jeg har været god til at forny mig selv
00:06:02 - 00:06:07  |    Søge andre steder hen, for ikke ligesom at stagnere kunstnerisk
00:06:07 - 00:06:11  |    Så jeg tror, det er en blanding af disciplin
00:06:11 - 00:06:16  |    Og så en nysgerrighed til at prøve at afsøge nye græskange
00:06:16 - 00:06:20  |    Og nu sagde du bare lige før, at du ikke særligst stiller op til sådan nogle her ting
00:06:20 - 00:06:23  |    Men du prøver at fortælle, hvorfor du ikke stiller op til sådan noget her
00:06:23 - 00:06:28  |    Jeg stiller sjældent op til sådan noget her, fordi jeg i bund og grund synes, jeg er røvkedelig
00:06:28 - 00:06:32  |    Og jeg opfatter heller ikke mig selv som sjov
00:06:32 - 00:06:37  |    Og det tror jeg igen, også er en del af det, at blive på en scene i mange år
00:06:37 - 00:06:43  |    Jeg tror, at folk der selv synes, de er sjove, de er næsten ikke til at holde ud og se på
00:06:43 - 00:06:51  |    Så det er også derfor, jeg ikke stiller op til interviews, fordi jeg ved ikke rigtig, hvad fanden skal bidrømme
00:06:51 - 00:06:53  |    Hvad søren, jeg skal bidrømme
00:06:53 - 00:06:55  |    Du må godt vande til åbentet
00:06:55 - 00:06:57  |    Fucking fedt, mand
00:06:57 - 00:07:06  |    Er der ikke noget sjovt, at du egentlig synes, du er røvkedelig, når det du lever i, er at få andre til at grine?
00:07:06 - 00:07:12  |    Jeg synes ikke, der er noget paradox i, selv at opfatte sig som røvkedelig
00:07:12 - 00:07:16  |    Og så være en, som så skal ud og underholde folk
00:07:16 - 00:07:21  |    Forstå på den måde, at jeg tror, at det, at man selv opfatter sig selv som røvkedelig
00:07:21 - 00:07:27  |    Føder en eller anden form for ubevidst ydmyhed
00:07:27 - 00:07:31  |    Som jeg tror, er meget vigtigt at have, når man skal optræde for folk
00:07:31 - 00:07:36  |    Først, jeg synes, at du er mega fed og lækker lækker
00:07:36 - 00:07:42  |    Så begynder du at sjuske, og så mister du din beratelse til at stå på scenen
00:07:42 - 00:07:44  |    Det tror jeg faktisk
00:07:44 - 00:07:51  |    Så jagter du ikke grin, når du er udenfor scenen? Har du det fint nok med at være kedelig en person?
00:07:51 - 00:07:54  |    Jeg er røvkedelig udenfor scenen
00:07:54 - 00:08:00  |    Og jeg synes også, jeg sætter en stor ære i, at være røvkedelig udenfor scenen
00:08:00 - 00:08:04  |    Jeg vil meget gerne skuffe folk, hvis de møder mig
00:08:04 - 00:08:09  |    Og jeg kan fornemme, at de tænker, nu bliver det sjovt
00:08:09 - 00:08:13  |    Fordi der bliver de meget hurtigt skuffet
00:08:13 - 00:08:18  |    Og så er jeg jo også et sted i mit liv, hvor jeg også har en familie og nogle børn
00:08:18 - 00:08:22  |    Som jo vil dø langsomt, hvis jeg hele tiden skulle renne rundt og være sjov
00:08:22 - 00:08:25  |    Så udenfor scenen er jeg absolut ikke sjov
00:08:25 - 00:08:28  |    Man skal ikke komme op til dig, når man skal være sådan her
00:08:28 - 00:08:31  |    Det må man godt, men jeg siger ikke noget sjovt
00:08:31 - 00:08:37  |    Man må godt komme op til mig i nettet og sige noget sjovt, men der sker ingenting
00:08:37 - 00:08:41  |    Nu springer jeg lidt
00:08:41 - 00:08:44  |    Ja
00:08:44 - 00:08:48  |    Nå, okay. Det var altså rigtig svært
00:08:48 - 00:08:53  |    Jeg vil nemlig rigtig gerne høre lidt om din første opmærksomhed med stater
00:08:53 - 00:08:59  |    Og det er den her del, som bliver sådan anekdotisk, hvor vi også laver noget af det tegnemæssigt
00:08:59 - 00:09:03  |    Så hvis du kan ligesom være så beskrivende som muligt
00:09:03 - 00:09:10  |    Måske også lave det her med, at du kommer fra falster, hvor dine referencer har været ude
00:09:10 - 00:09:15  |    Så du kender ikke til stater på det her tidspunkt
00:09:15 - 00:09:18  |    Så vil du prøve at fortælle om din første opmærksomhed med stater
00:09:18 - 00:09:24  |    Og hvis det er muligt, så prøv at fortæl det i nutid
00:09:24 - 00:09:26  |    Ja
00:09:26 - 00:09:31  |    Så i stedet for at sige, at jeg så stand-up, jeg ser stand-up en anden gang på flydelsesætter
00:09:31 - 00:09:34  |    Ja
00:09:34 - 00:09:42  |    Jeg er flyttet til København, og jeg er lige blevet single
00:09:42 - 00:09:46  |    Og ja, jeg er vel lidt ensom, kan man sige
00:09:46 - 00:09:51  |    Og så tilfældigvis, så går jeg ind på noget, der hedder Deens
00:09:51 - 00:09:53  |    Det var datet, var det ikke det?
00:09:53 - 00:09:55  |    Jo
00:09:55 - 00:09:57  |    Det var indersøgt godt indtil datet
00:09:57 - 00:10:02  |    Men det kunne godt være, at du kommer til at sige noget i datet, så får du det
00:10:02 - 00:10:04  |    Men du kan bare starte fra...
00:10:04 - 00:10:08  |    Du er et meget opbyggende menneskelinjer
00:10:08 - 00:10:10  |    Det er fint, du fucker op så meget
00:10:10 - 00:10:11  |    Ja, det er rigtigt
00:10:11 - 00:10:13  |    Du lavede virkelig en fejl der
00:10:13 - 00:10:17  |    Men indtil der er de to sætninger, der var før du fuckede op, det var rigtig godt
00:10:17 - 00:10:18  |    Det var virkelig godt
00:10:18 - 00:10:20  |    Yes, okay
