00:00:00 - 00:00:02  |    Shit, vi har forholdt os til det lige siden, every fucking time.
00:00:03 - 00:00:05  |    Det er bare så negativt funderet.
00:00:07 - 00:00:10  |    Det er også flot, at jeg kan have fingre til DFI, så kan der godt regne ud.
00:00:10 - 00:00:11  |    Derfor vil der ikke mere støtte der.
00:00:19 - 00:00:20  |    Ej, okay. Jeg tror godt, ja.
00:00:20 - 00:00:37  |    Men det der med at få lavet blåbænd på gejst og lyst, det var selvfølgelig lige nu og her fantastisk.
00:00:37 - 00:00:41  |    Men det, der gik op for mig, var, at vi ligesom fik brudt en mur ned.
00:00:41 - 00:00:48  |    Altså fordi lige pludselig, så næste gang vi skulle lave film, så var vi nået.
00:00:48 - 00:01:01  |    Vi havde ligesom bevist, at vi kunne et eller andet, og det blev på en eller anden måde et vendepunkt for mig.
00:01:01 - 00:01:06  |    Uanset, hvad kan man sige også, om anmelderen synes, det var fint eller ej.
00:01:06 - 00:01:11  |    Jeg kan huske, der var en fra dansk filmtexning, en kvinde, som sad og lavede undertekster til filmen.
00:01:11 - 00:01:21  |    Hun ringede uaffordret til Rasmus Heideinstruktøren og sagde, det er en helt anden måde at lave film på.
00:01:21 - 00:01:23  |    Den ligner slet ikke nogen af de andre danske film.
00:01:23 - 00:01:37  |    Det tog jeg simpelthen som et kompliment, at vi skedde på de høje fine fornemmelser, man havde i forhold til, hvordan man ellers laver film i Danmark.
00:01:37 - 00:01:49  |    På mange måder var Blå Mænd en mildepæl.
00:01:49 - 00:01:57  |    Hvordan var det at spille? Var det din første skuespil i en film?
00:01:57 - 00:01:58  |    Ja, en film, ja.
00:01:58 - 00:02:05  |    Det blev også over på nogle ret store skuespil. Lærte du noget skuespil om en dag, og så var du i Blå Mænd?
00:02:05 - 00:02:17  |    Blå Mænd var også på det kunstneriske personlige plan en kæmpe mildepæl.
00:02:17 - 00:02:25  |    Jeg fik lov til at spille sammen med Cisper Bet Knudsen og Tore Lindhardt, som jo er uddannet skuespiller.
00:02:25 - 00:02:31  |    Og har nogle værktøjer, som jeg som bundrøgforfald, der overhovedet ikke havde.
00:02:31 - 00:02:39  |    Jeg havde selvfølgelig tillegnet mig en lille smule efter vores skuespiltime, men slet ikke som de havde.
00:02:39 - 00:02:50  |    Jeg kiggede selvfølgelig på arbejde og kunne mine replikker, sagde mine replikker og spille røven med bukserne det bedste jeg havde lært.
00:02:50 - 00:02:58  |    Men samtidig var jeg også lidt på kamp.
00:02:58 - 00:03:05  |    Jeg har lært sindssygt meget. Måske har jeg været lidt irriterende, fordi jeg har kigget lidt for meget.
00:03:05 - 00:03:10  |    Men jeg har lært sindssygt meget af både ture og Cisper Bet.
