00:00:00 - 00:00:02  |    Fuck.
00:00:02 - 00:00:04  |    Helt.
00:00:04 - 00:00:08  |    Jamen skal vi, skal I ikke bare kaste os ud?
00:00:08 - 00:00:10  |    Ja.
00:00:10 - 00:00:12  |    Ja.
00:00:12 - 00:00:14  |    Hud det op, så jeg kan se din mund.
00:00:14 - 00:00:16  |    Sådan.
00:00:16 - 00:00:18  |    Du må fandme ikke kigge ned på det der nu.
00:00:20 - 00:00:22  |    Sådan der kan jeg også få mit manus.
00:00:22 - 00:00:24  |    Sådan jeg læser mit manus.
00:00:24 - 00:00:26  |    Ja.
00:00:26 - 00:00:28  |    Sådan.
00:00:28 - 00:00:30  |    Ja, det ser godt ud.
00:00:30 - 00:00:32  |    Det er vi glade her.
00:00:32 - 00:00:34  |    Fint. Jamen skal vi bare køre?
00:00:34 - 00:00:36  |    Ja.
00:00:36 - 00:00:40  |    Sejt, Anne, skyder du ikke at starte med at lave en præsentation af dig?
00:00:40 - 00:00:42  |    Altså dit navn?
00:00:42 - 00:00:44  |    Og så hvad du er?
00:00:44 - 00:00:46  |    Øh, skal vi ikke starte med det?
00:00:46 - 00:00:48  |    Jo.
00:00:48 - 00:00:50  |    Jeg hedder Anne Stampe-Olesen.
00:00:50 - 00:00:52  |    Og jeg er investor.
00:00:52 - 00:00:54  |    Og så er jeg løve i Løventhule.
00:00:54 - 00:00:56  |    Fint.
00:00:56 - 00:00:58  |    Gidder du at tage den en gang selv?
00:00:58 - 00:01:04  |    Og så måske også få Nordic Female Founders med?
00:01:04 - 00:01:06  |    Åh ja, okay. Sådan.
00:01:08 - 00:01:10  |    Jeg hedder Anne Stampe-Olesen.
00:01:10 - 00:01:14  |    Jeg er co-founder af det, der hedder Nordic Female Founders.
00:01:14 - 00:01:16  |    Så er jeg investor.
00:01:16 - 00:01:18  |    Og så er jeg løve i Løventhule.
00:01:18 - 00:01:20  |    Fint. Super, super godt.
00:01:20 - 00:01:22  |    Og gider du egentlig også bare sige,
00:01:22 - 00:01:26  |    når det her med, at du bor i Vigborg,
00:01:26 - 00:01:28  |    og så nu har jeg det der danske,
00:01:28 - 00:01:30  |    hvad hedder det, standardpodcast,
00:01:30 - 00:01:32  |    den nye standard,
00:01:32 - 00:01:34  |    ved du, at det er, altså hvor,
00:01:34 - 00:01:36  |    hvor det er bedre,
00:01:36 - 00:01:38  |    ligesom at bare sige kort noget om det.
00:01:38 - 00:01:40  |    Så er det bare fedt, at du bor i Vigborg,
00:01:40 - 00:01:42  |    med et mand og to børn.
00:01:42 - 00:01:44  |    Jeg hedder Anne Stampe-Olesen.
00:01:44 - 00:01:46  |    Jeg er co-founder af Nordic Female Founders.
00:01:46 - 00:01:48  |    Så er jeg investor.
00:01:48 - 00:01:50  |    Og jeg er løve i Løventhule.
00:01:50 - 00:01:52  |    Jeg er 39 år.
00:01:52 - 00:01:55  |    Og jeg bor i Vigborg sammen med min mand, Morten,
00:01:55 - 00:01:58  |    og mine to børn, Digda og August.
00:01:58 - 00:02:01  |    Jeg bor rigtig meget tid sammen med min heste.
00:02:01 - 00:02:03  |    Mig og min datter, vi har fire heste.
00:02:03 - 00:02:05  |    Og så bor jeg meget tid på løbe.
00:02:05 - 00:02:08  |    Og jeg bor meget tid på også at være frivillig.
00:02:08 - 00:02:12  |    Blandt andet så er jeg formand for Riddeklubben Torgård.
00:02:12 - 00:02:14  |    Smukt.
00:02:14 - 00:02:16  |    Rigtig, rigtig godt.
00:02:16 - 00:02:18  |    Bare sådan helt, helt kort,
00:02:18 - 00:02:20  |    så meget man nu kan skære ind til benet.
00:02:20 - 00:02:22  |    Hvad er sådan din vision?
00:02:22 - 00:02:24  |    I forhold til, nogen af jer tænkte.
00:02:24 - 00:02:26  |    Tak og tak.
00:02:28 - 00:02:30  |    I Nordic Female Founders, der har vi den vision,
00:02:30 - 00:02:35  |    at vi gerne vil lave større diversitet i dansk iværksætteri.
00:02:35 - 00:02:38  |    Så vi vil rigtig gerne have, at der er flere kvinder,
00:02:38 - 00:02:40  |    der bliver iværksættere.
00:02:40 - 00:02:42  |    Vi vil rigtig gerne have, at der er flere kvinder,
00:02:42 - 00:02:44  |    der også bliver ledere og tør tage sin plads.
00:02:44 - 00:02:46  |    Så jeg arbejder rigtig meget med
00:02:46 - 00:02:49  |    at motiver andre kvinder til at ture,
00:02:49 - 00:02:51  |    skalere deres forretninger,
00:02:51 - 00:02:53  |    ture at gå efter det store mål.
00:02:53 - 00:02:55  |    Jeg møder rigtig mange kvinder,
00:02:55 - 00:02:58  |    som hellere vil lykkes i det små,
00:02:58 - 00:03:00  |    end at skal ture at fejle i det store.
00:03:00 - 00:03:02  |    Det synes jeg simpelthen er så ærgerligt.
00:03:02 - 00:03:04  |    Så derfor vil jeg gerne motiver andre kvinder
00:03:04 - 00:03:07  |    til også at komme ud og gøre noget karriere.
00:03:07 - 00:03:09  |    Men samtidig vil jeg også gerne være foretaler
00:03:09 - 00:03:11  |    for det her med at være et helt menneske.
00:03:11 - 00:03:13  |    At man godt kan have en fed karriere
00:03:13 - 00:03:15  |    og et fedt job.
00:03:15 - 00:03:17  |    Og samtidig med, at man også er mor
00:03:17 - 00:03:19  |    og familiemenneske, har en masse venner
00:03:19 - 00:03:21  |    og at man også er frivillig i en forening.
00:03:21 - 00:03:23  |    Fint.
00:03:23 - 00:03:25  |    Meget, meget smukt.
00:03:25 - 00:03:27  |    Den første del af det, kan du sige det kortere?
00:03:27 - 00:03:29  |    Altså ikke, at du skal,
00:03:29 - 00:03:31  |    men er det muligt at sige det kortere?
00:03:31 - 00:03:33  |    Det med diversitet, ja, det er jeg godt.
00:03:33 - 00:03:35  |    Ja, præcis.
00:03:35 - 00:03:37  |    Og så, at jeg ikke tænker,
00:03:37 - 00:03:39  |    at der var meget, der var blivet særligt
00:03:39 - 00:03:41  |    i deres darne.
00:03:41 - 00:03:43  |    Det kan jeg godt.
00:03:43 - 00:03:45  |    Min vision, det er
00:03:45 - 00:03:47  |    at skabe større diversitet
00:03:47 - 00:03:49  |    i dansk værksætteri.
00:03:49 - 00:03:51  |    Jeg vil rigtig gerne
00:03:51 - 00:03:53  |    motiver andre kvinder
00:03:53 - 00:03:55  |    til også at få en fed karriere.
00:03:55 - 00:03:57  |    Samtidig vil jeg også gerne vise,
00:03:57 - 00:03:59  |    at det kan lykkes at være
00:03:59 - 00:04:01  |    karrierkvinde, være mor,
00:04:01 - 00:04:03  |    være frivillig formand i en forening
00:04:03 - 00:04:05  |    og være et helt menneske.
00:04:05 - 00:04:07  |    Smukt, virkelig godt.
00:04:07 - 00:04:09  |    Og så,
00:04:09 - 00:04:11  |    hvis vi ligesom sådan noget
00:04:11 - 00:04:13  |    og går tilbage lidt
00:04:13 - 00:04:15  |    i dit liv,
00:04:15 - 00:04:17  |    som vi var og snakker om det her med,
00:04:17 - 00:04:19  |    da du ligesom opdagede dit energi
00:04:19 - 00:04:21  |    og til land,
00:04:21 - 00:04:23  |    så lidt ledende hans spørgsmål,
00:04:23 - 00:04:25  |    men lå det i kortene for dig,
00:04:25 - 00:04:27  |    at du ligesom skulle gå hen og blive en succesfuld
00:04:27 - 00:04:29  |    landskendt invester
00:04:29 - 00:04:31  |    med meget med virksomhåb,
00:04:31 - 00:04:33  |    hvis man ligesom kigges værd
00:04:33 - 00:04:35  |    på din egen side.
00:04:35 - 00:04:37  |    Jeg har aldrig været sådan
00:04:37 - 00:04:39  |    en tolvtalsbi, og det har aldrig lagt i kortene,
00:04:39 - 00:04:41  |    at jeg skulle få en fed karriere.
00:04:41 - 00:04:43  |    Jeg tror, jeg gik mest på Crazy Daisy
00:04:43 - 00:04:45  |    i gymnasiet torsdag, fredag og lørdag,
00:04:45 - 00:04:47  |    og jeg gik egentlig ikke
