00:00:00 - 00:00:08  |    Jeg hedder Simon Kvam, jeg er 48 år og betegner mig selv som musiker og entertainer.
00:00:08 - 00:00:33  |    Og det her program hedder jo Vision. Hvis du selv kunne bestemme en form for undertitel, hvad ville du selv bestemme den skulle hedde?
00:00:38 - 00:00:58  |    Det handler om forbindelse.
00:00:59 - 00:01:01  |    Hvorfor skulle den hedde det?
00:01:01 - 00:01:09  |    Det er fordi det er det det handler om for mig. Det handler stort set om hvad jeg beskæftiger mig med.
00:01:10 - 00:01:19  |    Om det så er h-rum eller guru eller x-factor så handler det hele egentlig om hvordan mennesker forbinder sig til hinanden.
00:01:20 - 00:01:27  |    Og hvordan jeg forbinder mig til verden. Det er en form for undersøgelse af det.
00:01:27 - 00:01:34  |    Kan jeg få det til at sige det hele? Så sig Vision, Simon Kvam, det handler om forbindelse.
00:01:35 - 00:01:43  |    Vision, Simon Kvam, det handler om forbindelse.
00:01:44 - 00:01:54  |    Vision ikke forbindelse så. Vision, Simon Kvam, det handler om forbindelse.
00:01:54 - 00:02:01  |    Føler du at du har opnået succes?
00:02:01 - 00:02:26  |    Jeg føler jeg har opnået succes på den måde forstået at jeg har skabt mig et liv som giver mig lov til at gøre ting jeg har lyst til og fritager mig for at gøre ting jeg ikke gider.
00:02:26 - 00:02:42  |    Det er ikke så meget folks blik på mig og hvorvidt det er sådan her eller sådan her, der definerer den succes.
00:02:43 - 00:02:47  |    Det er selvfølgelig betydningsfuldt i en eller anden grad. Det skal jeg ikke sige mig fri for.
00:02:47 - 00:03:04  |    Men det er mere det at have arbejdet sig hen til nogle privilegier og til et eller andet fundament af at kunne leve en slags liv som jeg næsten ikke turde drømme om man kunne.
00:03:17 - 00:03:44  |    Føler du at du er kommet lidt til den succes?
00:03:44 - 00:03:54  |    Jeg føler på ingen måde jeg er kommet lidt til nogen form for succes.
00:03:54 - 00:04:13  |    Der er ikke noget af det jeg har opnået som ikke har krævet en masse arbejde og også en masse afslag i hovedet og ikke mindst en masse tid.
00:04:13 - 00:04:30  |    Jeg er jo ikke brudt igennem som teenager eller vildt ung. Det var jo lige før jeg ramte 30, at der endelig skete et eller andet med det jeg gik og rodede med.
00:04:30 - 00:04:51  |    Det tror jeg er meget kendetegnende for alt hvad jeg har lavet. Jeg har arbejdet med projekterne i lang tid og gennemgribende.
00:04:51 - 00:05:00  |    Jeg synes ikke jeg er kommet lidt til ting. Der er nogle ting jeg har let ved, men det er noget andet.
00:05:01 - 00:05:04  |    Hvad for nogle ting har du let ved?
00:05:05 - 00:05:10  |    Jeg har let ved at stille mig op i forsamlinger og holde tale. Det har jeg altid haft.
00:05:11 - 00:05:15  |    På en måde er det det jeg har forfinnet til at blive en form for at virke.
00:05:15 - 00:05:34  |    Det jeg ser som min hovedvirke er at optræde på en scene. Primært med musik er det så at få skabt en forbindelse, få rystet og rørt folk på en eller anden måde.
00:05:34 - 00:05:49  |    Der er noget i det felt som falder mig lidt. Min egen indgangsvinkelighed til at det forholder sig sådan er at jeg føler mig ekstra forpligtet til at gøre det ordentligt.
00:05:49 - 00:06:05  |    Og ikke bare læne mig tilbage og sige at det er bare det jeg kan. Men man gør mig umæn med hvad jeg vil bruge det til. Hvad vil jeg få folk til at tænke og føle? Det går jeg ikke let henover.
00:06:05 - 00:06:27  |    Har du nogle form for mantra i dit arbejdsliv eller når du skal lave ting eller starte nye ting? Har du noget du siger til dig selv eller noget du retter dig efter når du skal tænke?
00:06:27 - 00:06:36  |    Når jeg skal lave projekter. Ja for eksempel hvis du starter noget nyt eller du vil være færdig med noget andet. Har du nogle mantra du går efter?
