00:00:00 - 00:00:03  |    Blandt andet ryger vi jo til Helsingør.
00:00:06 - 00:00:07  |    Hvad hedder den klub?
00:00:07 - 00:00:08  |    Retro.
00:00:08 - 00:00:10  |    Retro i Helsingør?
00:00:10 - 00:00:12  |    Skal vi splinde på af mulighed?
00:00:12 - 00:00:14  |    Du må tage det i kvældet i tvivl om min stemme kommer med i sommer.
00:00:14 - 00:00:20  |    Så kan du prøve at beskrive det lidt som du gør, men bare lige så fortælende?
00:00:20 - 00:00:23  |    Eller hvis man lidt af mennesket får, så skal det tegne?
00:00:23 - 00:00:25  |    Så meget omlutninger som muligt.
00:00:25 - 00:00:35  |    Vi besluttede så i HKOM, at vi også skal prøve at tage på diskuteringstur for at få nogle kilometer i vænene.
00:00:35 - 00:00:44  |    For ligesom at pressteste projektet HKOM, før vi lige pludselig skal stå på nogle vigtige store festivaler.
00:00:44 - 00:00:52  |    Så vi ikke kun har stået i det øvelokale før det, men har prøvet materialet af i nogle mærkelige forskellige hjørter.
00:00:52 - 00:01:14  |    Så vi får lagt vores lillebitte arsenal af instrumenter, meget sådan noget man kan have i en håndtask, med ind i en stationcar og køre allers ud i natten i det danske provinsen af livet.
00:01:14 - 00:01:27  |    Og blandt andet rammer vi så Helsingør, diskoteket retro, om det var en klokken 01 eller 03, det husker jeg faktisk ikke.
00:01:27 - 00:01:49  |    I hvert fald er det en af de steder vi har været forbi, vi skal forbi, og vi har været en del andre, dansebaren i Herning, vi har været i Slagelse, vi har været i Nykøbing Falster, Holstebro, Esbjerg, over hele landet.
00:01:49 - 00:02:02  |    Ingen af stederne har vi jo oplevet det, som jeg formoder Casey oplever. Ingen af stederne har der været nogen speciel interesse for det.
00:02:02 - 00:02:29  |    Mest alt har det jo været, det der ham der, fra det der, har nogle teenagerer sagt i en kæmpe brænder, og så vendt ryggen til og gået over, og snart til deres venner, i hvert fald ikke specielt meget opmærksomhed fra de der forskellige diskoteksgaster op mod scenen, eller DJ-pulten, som jo er der man står og spiller.
00:02:29 - 00:02:44  |    Så vi er godt i gang med at få de her knops og kilometer i benene. Men da vi så rammer retro, der rammer vi så samtidig i bunden. Forstår du på den måde, at der faktisk er 0 gæster.
00:02:44 - 00:03:02  |    Altså der er ingen inde. Vi kommer ind på det her diskotek og siger, hvor er folk? Der er ikke kommet nogen. Jamen der er ikke kommet nogen. Hvad med nu? Der er ingen.
00:03:02 - 00:03:16  |    Nå, okay. Jamen der får jeg sådan et déjà vu tilbage til engang i Nephew, hvor vi spillede på det der hedder forbrændingen i Alberslund, også for ingen.
00:03:16 - 00:03:43  |    Altså kun for personalet. Det er der jo så. Der er jo personalet. Og det er også dem, vi er optrættet for med det der 20 minutter diskosæt, vi har kørt i HK-rum. Kæmpe klubrum, kæmpe dansegulv, komplet tomt, et par bartender ude i nogle hjørner, en dørmand, der lige kigger ind, og så er der jo sgu ikke noget for ham ud igen.
00:03:43 - 00:03:54  |    Det var dem, der hørte det. Så med den i bog tog vi videre ud i livet som nystartede band.
00:03:54 - 00:03:59  |    Og hvad lærte du af den oplevelse? Altså lærte du noget?
00:03:59 - 00:04:22  |    Jeg tror, at det siger sig selv, hvad man lærer af sådan en oplevelse. Altså man lærer at komme igennem den med skinnet på næsen, og man lærer, at det dør man ikke af som band, fordi det er der et ordentligt hak i forfængeligheden, at der ikke er nogen.
00:04:22 - 00:04:35  |    Og det er også en god akavetheds booster. Fordi hvad gør man når man træder? Godaften! Til hvem?
00:04:35 - 00:04:57  |    Der er mange ting, som er mærkeligt, og som man skal sluge, men man lærer jo, at det kan man godt komme over. Og siden har det jo været en ting, vi har haft i blandt os i HK'um, at hvis vi kan det, så kan vi også det her.
00:04:57 - 00:05:19  |    Fordi vi spillede på en skrant til sådan noget, der hed E.B. Live under corona, hvor det blæste og stormede, og det var heller ikke til at få særkelig mening, men det var jo egentlig de gange, man så kunne sige, at vi har spillet for nul i Helsingør, så må det ikke være, at vi kan det her også.
