00:00:00 - 00:00:13  |    🎵 your bitter heart cold to the touch now I'm gonna reap what I sow and gotta feel we've got
00:00:13 - 00:00:04  |    a feeling that I'm going under but i know that it will make it out
00:00:04 - 00:00:15  |    alive but i know that it will make it out alive
00:00:15 - 00:00:23  |    if i keep calling you my lover and move on
00:00:23 - 00:00:27  |    Du ser mig blæde, indtil jeg kan bryde
00:00:27 - 00:00:30  |    Skræb det, og støt det på mine knæer
00:00:30 - 00:00:34  |    Og nu, at jeg ikke har dine kæmper
00:00:34 - 00:00:37  |    Jeg skal bruge støtter
00:00:37 - 00:00:40  |    Jeg kæmper over mig selv
00:00:40 - 00:00:43  |    Og jeg behøver dig at komme hjem
00:00:43 - 00:00:47  |    Og nu, at jeg ikke har dine kæmper
00:00:47 - 00:00:50  |    Skræb det, og støt det på mine knæer
00:00:50 - 00:00:53  |    Og nu, at jeg ikke har dine kæmper
00:00:53 - 00:00:56  |    Jeg kæmper over mig selv
00:00:56 - 00:00:59  |    Og jeg behøver dig at komme hjem
00:00:59 - 00:01:02  |    Og nu, at jeg ikke har dine kæmper
00:01:02 - 00:01:05  |    Jeg kæmper over mig selv
00:01:05 - 00:01:08  |    Og nu, at jeg ikke har dine kæmper
00:01:08 - 00:01:11  |    Jeg kæmper over mig selv
00:01:11 - 00:01:14  |    Og nu, at jeg ikke har dine kæmper
00:01:44 - 00:02:10  |    Om en time skal USAs tidligere præsident Donald Trump stå ansigt til ansigt med en dommer i Miami.
00:02:10 - 00:02:17  |    Han er af den amerikanske stat anklaget for at have taget flere hundrede hemmelige dokumenter med sig hjem, da han forlod det hvide hus.
00:02:17 - 00:02:21  |    USA-korspondent Stefan Krets fortæller, at mange har taget plads foran retten.
00:02:21 - 00:02:27  |    Uden for retsbygningen, der er hundredvis af pressefolk, tv-kameraer fra hele verden og hele USA selvfølgelig.
00:02:27 - 00:02:32  |    Der er også en håndfuld Trump-tilhængere, som er meget højelytte og et par modstandere.
00:02:32 - 00:02:42  |    Men inde i retsbygningen sker jo det egentlige i dag, og det er, at USAs tidligere præsident møder op i retten kl. 21 dansk tid for at læse tiltalepunkterne op.
00:02:42 - 00:02:52  |    Og skal erklære sig enten skyldig eller uskyldig, og derefter skal der til rette lægges et retsforløb, man skal finde ud af, hvornår sagen kan gå i gang.
00:02:52 - 00:02:55  |    fortalte Stefan Krets med fra Miami.
00:02:55 - 00:03:00  |    Nu er det for første gang lykkedes Danmark at få udleveret en af de tiltalte i udbytteskattesagen.
00:03:00 - 00:03:09  |    Der er tale om den 53-årige britiske statsborgere Günther Klar, der er tiltalt for svindelen med udbytteskatt for 320 millioner kroner.
00:03:09 - 00:03:13  |    Han er nu i dansk vartægt, efter at have været dømt for tilsvarende kriminalitet i Belgien.
00:03:13 - 00:03:20  |    Og der er tale om en helt central bagmand, der nu kan komme for en dansk dommer, siger vores erhvervskorrespondent Jacob Ussing.
00:03:20 - 00:03:32  |    Helt tilbage før udbyttesagen overhovedet startede af denne fidus mod den danske statskasse, samarbejdede han faktisk med hovedbagmanden, den mistænkte hovedbagmand Sanjay Shah, om hvordan man kunne plønne den tyske statskasse.
00:03:32 - 00:03:44  |    Så nåede de så videre til den danske statskasse. Han arbejdede sammen med Sanjay Shah i en periode, og så til sidst lavede han sit eget setup omkring sit eget selskab, og det er det han er tiltalt for i Danmark, hvor straffesagen så skal starte her til oktober.
00:03:44 - 00:03:52  |    Günther Klarer er tiltalt efter paragrafer, der kan give op til 12 års fængsel den højst mulige straf for økonomisk kriminalitet herhjemme. Han nægter sig i øvrigt skyldig.
00:03:56 - 00:04:07  |    Det er knæstørt udenfor, dermed så er risikoen for naturbrænde også et tårnhøj. I eftermiddags måtte både brandvæsen, beredskabsstyrelsen og politiet rykke talstærkt ud til en brand i et sommerhusområde på Røgemø.
00:04:07 - 00:04:24  |    På grund af kraftig røg havde politiet svært ved at få et overblik, og man skyndte sig derfor at evakuere beboere i området. Men end da branden kom under kontrol, så kunne man konstatere, at et sommerhus og en garage til et andet hus var brændt ned, derudover så havde ilden også fat i et naturområde, ligesom der meldes om skader på blandt andet udhuse og hegn.
00:04:24 - 00:04:29  |    Og senere ser Jan Henrik Poulsen fra beredskabsstyrelsen ikke i tvivl om, at tørken har spillet en rolle.
00:04:29 - 00:04:41  |    Det har meget stor betydning. Der skal ingenting til, bare en lille bit af gnist fra, et udstyringsgrød, et cigaretskod, ukrudsbrænder. Der er meget, meget tørt, og det gælder stort set i hele Danmark.
00:04:41 - 00:04:45  |    Ja, og branden har nu fået myndighederne til at indføre afbrændingsforbud for hele øen.
00:04:46 - 00:04:57  |    Og det tør at være fortsætter, også i aftentimerne og i nat, og som end også i morgen, hvor temperaturen endda også får et ekstra nyk opad. Vi kan nemlig få temperatur helt op omkring de 27 grader.
00:04:57 - 00:05:00  |    Det var Radioavisen med Daniel Inhus i studiet.
00:05:28 - 00:05:40  |    Jeg ved, at det er så dumt, og det tager mig ned. Men en løg af selvfølgelighed holder mig ned.
00:05:40 - 00:06:04  |    Tonight, all night, I tried telling you everything's not proper.
00:06:04 - 00:06:17  |    But you cried when telling me all we had is scars.
00:06:17 - 00:06:28  |    I'm drifting through the morning breeze, colors blurring in my eyes.
00:06:28 - 00:06:39  |    The one that I'm missing is the one drifting by my side.
00:06:39 - 00:06:59  |    Jeg ved, at det er så dumt, og det tager mig ned. Men en løg af selvfølgelighed holder mig ned.
