00:00:00 - 00:00:02  |    Nyheder fra DR København.
00:00:05 - 00:00:06  |    Det er kæmpesort.
00:00:06 - 00:00:11  |    Sådan lyder det fra vice-direktør i Dansk Arkitekturcenter, Dorte Weinkauf.
00:00:11 - 00:00:17  |    Bare søg efter, at København er blevet udnævnt til hele verdens arkitekturhovedstad 2023.
00:00:17 - 00:00:22  |    For udover, at det måske kan få flere danskere til at interessere sig for arkitektur,
00:00:22 - 00:00:25  |    så vil titlen også tiltrække en masse turister, vurderer vice-direktøren.
00:00:25 - 00:00:28  |    De kommer, fordi de optager den her dagsorden.
00:00:28 - 00:00:34  |    Det vil sige, at det er nogle mennesker, som vil være i vores by på en god og hensynsfuld måde.
00:00:34 - 00:00:38  |    Det er noget, vi taler meget om i oplevelsesbranchen.
00:00:38 - 00:00:41  |    Det er den slags mennesker, vi gerne vil have komme og besøge os.
00:00:41 - 00:00:45  |    Københavns Kommune markerer titlen med et velde arrangement i løbet af året,
00:00:45 - 00:00:48  |    i samarbejde med blandt andet Dansk Arkitekturcenter.
00:00:48 - 00:00:52  |    Allerede i dag har vi ret sjov aktivitet i Dansk Arkitekturcenter.
00:00:52 - 00:00:54  |    Desværre er den allerede udslaget.
00:00:54 - 00:00:57  |    Det er en tegneaktivitet.
00:00:57 - 00:01:01  |    De Andersen og company er kommet i en særlig udgave den her gang.
00:01:01 - 00:01:04  |    Man kan faktisk komme ind og tegne sammen med Flemming Andersen.
00:01:04 - 00:01:10  |    Ellers har vi allerede i februar om måneden vores lysløb i forbindelse med Copenhagen Leifestival.
00:01:10 - 00:01:15  |    Det er UNESCO, FN's organisation for blandt andet kultur og uddannelse,
00:01:15 - 00:01:19  |    der har udnævnt København til arkitektur, hovedstad i 2023.
00:01:20 - 00:01:25  |    Hvis du har længtes efter varmen, siden vi skruede ned for radiatorerne på mange arbejdspladser,
00:01:25 - 00:01:27  |    kan du nu finde den i Gladsakse.
00:01:27 - 00:01:31  |    Sawnærende i Gladsakse og Bagsvær Sømmehaller er blevet tændt igen,
00:01:31 - 00:01:34  |    skriver idrætsanlæggende i Gladsakse på deres Facebook-side.
00:01:34 - 00:01:37  |    De fleste offentlige sawnærer har været lukket siden det seneste efterår,
00:01:37 - 00:01:42  |    sidste år som følge af energikrisen og kommunernes energispartiltag.
00:01:42 - 00:01:46  |    Det gælder også for sawnærende i Gladsakse, Badmintonhaller og på Bagsværstadion,
00:01:46 - 00:01:49  |    at de vender tilbage til de sædvanlige tændingstider.
00:01:50 - 00:01:53  |    Mange steder toge eller rimtåge, men ellers tørt,
00:01:53 - 00:01:55  |    og i løbet af dagen lidt eller nogen sol.
00:01:55 - 00:01:58  |    Temperaturen ligger mellem frysepunktet og 3 grader varme,
00:01:58 - 00:02:00  |    og vinden er svag til evn fra nordøst.
00:02:00 - 00:02:22  |    Du lytter til Sara og Monopolet på P4.
00:03:00 - 00:03:21  |    Det er jo ikke som de andre, du helt er selv.
00:03:21 - 00:03:28  |    Der er ingen samtag, du må tage mig på mit ord.
00:03:28 - 00:03:35  |    Jeg har fremlet mig fra nu, kæmpe for at holde fast.
00:03:35 - 00:03:42  |    Med tusinde ord og tanker, og drynder ondt som besæt.
00:03:42 - 00:03:50  |    Alt det vi drømmer, vi drømmer, alt det vi lever for, vi lever for.
00:03:50 - 00:03:55  |    Ja, det er som om et nyt lys, ikke en ting der rammer.
00:03:55 - 00:04:02  |    Så når du skiner på mig, og et nyt lys føler mig forandret,
00:04:02 - 00:04:12  |    vi går i en helt ny vej, det er ikke en ting der kan slå mig ud.
00:04:12 - 00:04:33  |    Ja, det er som om et nyt lys, og et nyt lys rammer mig.
