00:00:00 - 00:00:02  |    Vi skal kigge igennem.
00:00:13 - 00:00:15  |    Kom bare lige over og lave sådan et klap for mig.
00:00:15 - 00:00:17  |    Det så du jo også, så det har du jo set efterhånden.
00:00:19 - 00:00:21  |    Vi kan synge det for.
00:00:24 - 00:00:26  |    Hvad er lyd, du sådan de fokuserer?
00:00:26 - 00:00:28  |    Det holder, det bliver øje med.
00:00:28 - 00:00:30  |    Ja, men det er også derfor, at lydet er vigtigt.
00:00:30 - 00:00:32  |    Fordi hvis du har et bedt, så kan man altså bruge lyd.
00:00:32 - 00:00:36  |    Det der lyd, så kan de finde hinanden i kameraet.
00:00:36 - 00:00:38  |    Altså de starter ved samme sted.
00:00:38 - 00:00:40  |    Og så havde jeg lavet billeder her, så ved jeg.
00:00:40 - 00:00:43  |    Ditt ansigt, der ved jeg, at den er med indenfor jer.
00:00:43 - 00:00:45  |    Fordi jeg det kunne hege af.
00:00:45 - 00:00:46  |    Det er rigtigt.
00:00:46 - 00:00:48  |    Værsgo hvis man står her og klaver. Så.
00:00:48 - 00:00:50  |    Nej, det kan det ikke. Det vil jeg ikke.
00:00:50 - 00:00:53  |    Man kan jo egentlig godt synge efter lyd.
00:00:53 - 00:00:55  |    Så kunne den godt prøve at finde det, tror jeg.
00:00:55 - 00:00:56  |    Ja, jeg kan godt.
00:00:56 - 00:00:58  |    Nå, de bliver bedre og bedre.
00:00:58 - 00:00:59  |    De bliver hurtigere og hurtigere.
00:00:59 - 00:01:01  |    Men det er klart, hvis det jo længere klippet er.
00:01:01 - 00:01:02  |    Det er svært, at have det ved det.
00:01:02 - 00:01:03  |    Fordi så skal det være musik i morgen.
00:01:03 - 00:01:04  |    Ja, ja, det er klart.
00:01:04 - 00:01:06  |    Men det kan det bare i sengs.
00:01:08 - 00:01:09  |    Alright.
00:01:10 - 00:01:11  |    Nu har vi ingen lyd på dig, men det er fint.
00:01:11 - 00:01:12  |    Vi bruger jo ikke dig.
00:01:12 - 00:01:13  |    Hvad?
00:01:13 - 00:01:14  |    Altså du har ingen lyd på.
00:01:14 - 00:01:16  |    Nej, det gør jeg ikke med.
00:01:17 - 00:01:19  |    Du kigger bare på mig undervej.
00:01:19 - 00:01:21  |    Selvom der er mega meget spændende at kigge på.
00:01:21 - 00:01:22  |    Så er det mig, du skal kigge på.
00:01:22 - 00:01:26  |    Ja.
00:01:26 - 00:01:27  |    Okay.
00:01:27 - 00:01:30  |    Så må du fortælle mig, hvad er dit navn, og hvad laver du?
00:01:30 - 00:01:37  |    Jeg hedder Lina, og jeg går på sorg i gemistik efterskole.
00:01:37 - 00:01:40  |    Og hvad laver du her i din hverdag?
00:01:40 - 00:01:45  |    Jeg har det mest som en hverdag her nede på efterskole,
00:01:45 - 00:01:54  |    hvor jeg har rigtig meget fysisk og nogle få timer.
00:01:54 - 00:02:00  |    Hvor jeg har meget projektopgaver, og ikke så meget normal skole.
00:02:00 - 00:02:03  |    Hvordan er det at være her, synes du?
00:02:03 - 00:02:07  |    Jeg synes, det er ret fedt at være her.
00:02:07 - 00:02:10  |    Det kan være hårdt nogle gange, synes jeg.
00:02:10 - 00:02:17  |    Både mentalt, men også oppe i hovedet. Man har virkelig brug for at komme væk nogle gange også.
00:02:17 - 00:02:20  |    Man kan godt blive lidt træt af det i længden.
00:02:20 - 00:02:23  |    Er det fordi, at der er så mange mennesker, eller hvorfor bliver man træt?
00:02:23 - 00:02:26  |    Jeg tror, at for mit vedkommende er det fordi, at der er så mange mennesker.
00:02:26 - 00:02:29  |    At jeg har virkelig brug for at komme ned på mit værdes,
00:02:29 - 00:02:34  |    og slap lidt af og være alene, og komme hjem i weekenderne.
00:02:34 - 00:02:36  |    Jeg har i hvert fald rigtig meget træng til,
